,block_height,parent_hash,block_hash,transaction_hash,from_account_identifier,to_account_identifier,transfer_type,amount,fee,memo,created_at
14,4401444,e8f52550872f32203db8a73277340e09d05fe2eab722df73c135cbcab8a71254,d3f1455e662dae78ec77f03c83cbb5cb7295a3d2b3a53d92262b940dc4b2c047,e1ca981a0a935c0671a83995db49f5cf0d7a85c58c2db806def6196fa7b60ac3,e994ad0378bb902896b55dd5a69a72e7fb2762bba50b32f66f77d2d99d07ac94,62b01198936fdf2a562a0c169734ed5faa2e06430c48899e5b4655fc85791ae5,send,1999990000,10000,1363,1661835495
15,4401443,9d02b1525dea934b5cc267fbb14202781eb4bd921a97022d78f475972404c705,e8f52550872f32203db8a73277340e09d05fe2eab722df73c135cbcab8a71254,83d63290837c70d7bf6314b2dc1e5b461c6f2e3a2595b487b15f80a1c805a7d3,4b471fad2a7ce6195f0bccee1d899ad4ba22b725e7dae7db998627cb5d4ae488,cd42c9e401c628b1160d3fe5fc275751dc6fe2f174b55472c085ed20c268a16a,send,3440000000,10000,1661835451069979549,1661835458
16,4401442,a10bf78b9266a075925c22806780a64212480893c0b23a2d1ef0934b1aae8e5e,9d02b1525dea934b5cc267fbb14202781eb4bd921a97022d78f475972404c705,0f2d9edb33ef43527c768910e8a0e49091e0238b943b94c73d95f36673d6f79c,d6d174ada7f987c499a757a67c13d9d532ae8e85bda5c39af55ab21c57c1afec,d5a070b2f482c09ae258065af74472f623b62de773f6073859bcc3836d18bd44,send,1115480000,10000,0,1661835439
17,4401441,8df38c153a5a46e8d20a7420b87a0c57d3123191223d630acc447555b82d1ae1,a10bf78b9266a075925c22806780a64212480893c0b23a2d1ef0934b1aae8e5e,08698a00480ab6d25678464c37adec85aa6f276917f1b26a3cfea627465e78ae,b4a322d14571eeeeb5b3aa017e2f12f00561e8d50c7b927ec66aa610917820c5,d6d174ada7f987c499a757a67c13d9d532ae8e85bda5c39af55ab21c57c1afec,send,1115490000,10000,16036,1661835405
18,4401440,4a3f6a5ccfcf10013f48d225f8dde1963473a4b24b3ac5c6079b65e334df8361,8df38c153a5a46e8d20a7420b87a0c57d3123191223d630acc447555b82d1ae1,cc8ab082aa45feb6a3ae232272a27523861e6d16e3db5275d7f654edd5cd9b5f,4dfa940def17f1427ae47378c440f10185867677109a02bc8374fc25b9dee8af,f00906680d8550985ec9244170e460a5885deb5dcd696440cb25ddc20e7b648d,send,474000000,10000,3796176180032479000,1661835388
19,4401439,b2cb3af55f18d98933248f2eb4c7e33c928b0c6e729ca008d107c7b3364d83bb,4a3f6a5ccfcf10013f48d225f8dde1963473a4b24b3ac5c6079b65e334df8361,8fcd7263417314598bd7782b92d81aa50792039c3cb99bafdbe0ea46e1514b7b,d5a070b2f482c09ae258065af74472f623b62de773f6073859bcc3836d18bd44,449ce7ad1298e2ed2781ed379aba25efc2748d14c60ede190ad7621724b9e8b2,send,284960000,10000,540480145898536060,1661835382
20,4401438,b1e2efa8b26d626a2c5af5ca2b3474d033bf6114069e2cc6dee7b67a286fa44c,b2cb3af55f18d98933248f2eb4c7e33c928b0c6e729ca008d107c7b3364d83bb,e9fd8ecc08bd982b5f7dfba2fd5c47feb0a2e3495c1a18a9fe9b71284ca1d78c,,e3451233af1579b49478c8bfa8c647aef67bc6314eed45a7b76f79081ac9394f,mint,13501943,0,2176302935113233059,1661835360
21,4401437,2ce3576c067f25bee7429d275c1682f68380b7045499ef2a09dda396a5dc82de,b1e2efa8b26d626a2c5af5ca2b3474d033bf6114069e2cc6dee7b67a286fa44c,e5efd7a047137608cabd8667364821ca30ccd44e1410243a959393b770dfbf95,,ecc28c79d527f5f12cdf08eb5d1110594082571989e01767b44dc5b4b790a3db,mint,19045674,0,17599364598291617317,1661835337
22,4401436,90f989ac575d2cb3730ad3ea2c0169c0229ec2292ed81f0982a713cd09a27fe3,2ce3576c067f25bee7429d275c1682f68380b7045499ef2a09dda396a5dc82de,605ddde4b86197f70e83b140daad8460638e676819e721c090146bfe4ae02aa8,7ae30893624f090dd1c6596115edecc65356e004f568082b2dccd61f96f1039f,220c3a33f90601896e26f76fa619fe288742df1fa75426edfaf759d39f2455a5,send,132770000,10000,12358496140284362146,1661835324
23,4401435,547a0438f3b73096e69ba3e9570eede50a571d33bd99fb745696001ccb62bfa4,90f989ac575d2cb3730ad3ea2c0169c0229ec2292ed81f0982a713cd09a27fe3,85ab08392b31cc65d3addf389fc729868fd9e8758b129d9e39a8137525ee07f2,9a893555364eaa5d7388fb76f9b629dd56e050120b6d5e9d1e8842eb22ede50f,220c3a33f90601896e26f76fa619fe288742df1fa75426edfaf759d39f2455a5,send,922170000,10000,9076183323839202618,1661835319
